"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"48","44523.470588235294","29634","80842","176.4313725490196","37","2000"
"49","45014.03921568627","29866","81229","214.01960784313727","26","2000"
"50","45520.56862745098","30259","81771","221.1764705882353","23","2000"
"51","45932.21568627451","30419","82711","178.92156862745097","20","1575"
"52","46353.98039215686","30583","82941","183.4313725490196","25","1054"
"53","46656.94117647059","30696","83652","130.66666666666666","28","749"
"54","47124.470588235294","30858","83825","203.80392156862746","27","1915"
"55","47446.705882352944","32008","85468","139.2156862745098","23","726"
"56","47813.98039215686","32089","87322","159.2156862745098","21","894"
"57","48189.21568627451","32158","87682","162.7843137254902","27","751"
"58","48576.64705882353","32460","88179","168.1764705882353","18","1081"
"59","48941.96078431373","32707","88537","158.3921568627451","33","1115"
"60","49284","32921","89200","148","19","944"
"61","49640.17647058824","33200","89504","154.2941176470588","28","1252"
"62","50024.17647058824","33355","91070","166.66666666666666","25","1776"
"63","50415.27450980392","33481","91531","169.84313725490196","33","1232"
"64","50806.666666666664","33718","91691","169.92156862745097","27","2000"
"65","51168.43137254902","33810","91788","156.7843137254902","28","1835"
"66","51485.62745098039","33940","93559","137.01960784313727","23","1107"
"67","51747.098039215685","34222","93624","112.15686274509804","22","490"
"68","52054.549019607846","34460","93914","132.66666666666666","21","724"
"69","52348.117647058825","34699","94240","126.47058823529412","27","543"
"70","52629.43137254902","34863","94382","121","23","582"
"71","52874.64705882353","34960","94463","105.03921568627452","17","468"
"72","53136.19607843137","35189","94526","112.23529411764706","24","594"
"73","53436.509803921566","35828","94605","129.45098039215685","16","693"
"74","53662.62745098039","35900","94724","96.50980392156863","22","353"
"75","53995.21568627451","36764","94821","143.80392156862746","21","1001"
"76","54292.41176470588","36847","94960","128.09803921568627","21","926"
"77","54546.23529411765","36953","95203","108.84313725490196","19","553"
