Wall time,Step,Value
1689583506.0786111,4,1797.0
1689583508.6181993,5,907.0
1689583525.8828602,11,966.0
1689583536.7310803,15,1909.0
1689583537.2788372,16,168.0
1689583544.0938573,19,371.0
1689583544.402069,20,94.0
1689583544.9627445,21,169.0
1689583546.5942943,23,82.0
1689583550.162461,24,1179.0
1689583553.646361,27,397.0
1689583554.1742213,28,159.0
1689583567.0312555,39,1298.0
1689583567.7000566,41,91.0
1689583570.1478996,48,79.0
1689583570.5701914,49,143.0
1689583570.7889621,50,72.0
1689583572.7323248,52,491.0
1689583574.9204066,55,173.0
1689583576.2095962,58,143.0
1689583578.1718059,61,131.0
1689583578.7230303,62,174.0
1689583579.0758498,63,115.0
1689583579.3130553,64,86.0
1689583579.63483,66,60.0
1689583579.810682,67,65.0
1689583579.9000561,68,24.0
1689583580.1366556,69,88.0
1689583580.4318795,71,30.0
1689583580.6619136,72,85.0
1689583581.4673705,78,36.0
1689583581.8462703,80,115.0
1689583582.4602144,83,81.0
1689583582.802774,86,28.0
1689583583.4810293,90,71.0
1689583585.2090833,100,30.0
1689583586.9300578,104,30.0
1689583587.443183,107,64.0
1689583587.6693237,108,71.0
1689583587.8868163,110,43.0
1689583589.0765104,117,37.0
1689583589.6731951,122,47.0
1689583590.4894998,126,113.0
1689583590.6245546,127,46.0
1689583590.9110346,129,43.0
1689583591.4099154,131,102.0
1689583592.2084503,137,21.0
1689583592.4378204,138,85.0
1689583593.0917823,145,24.0
1689583593.4079094,147,37.0
1689583593.4782305,148,26.0
1689583593.9204068,151,37.0
1689583594.9923549,158,33.0
1689583595.415825,161,43.0
1689583595.7043922,163,61.0
1689583595.9049406,165,23.0
1689583596.774892,171,56.0
1689583596.9273148,172,44.0
1689583597.0331047,173,29.0
1689583597.6217742,178,32.0
1689583598.0713527,182,30.0
1689583598.4700859,185,28.0
1689583598.6589088,186,53.0
1689583598.7675703,187,32.0
1689583599.149995,191,16.0
1689583599.2422972,192,35.0
1689583599.342488,193,35.0
1689583599.9584963,200,17.0
1689583600.4808865,203,69.0
1689583600.5498104,204,25.0
1689583600.6151204,205,22.0
1689583600.7170243,206,36.0
1689583600.906452,208,35.0
1689583601.2621562,212,26.0
1689583601.4227624,214,39.0
1689583601.608579,216,30.0
1689583602.0817835,220,48.0
1689583602.1826575,221,36.0
1689583602.2691479,222,31.0
1689583602.5465534,225,23.0
1689583603.025278,230,20.0
1689583603.8652658,240,19.0
1689583604.1331522,242,46.0
1689583604.368979,245,30.0
1689583604.448245,246,29.0
1689583604.5276282,247,28.0
1689583605.150891,255,33.0
1689583605.5346472,259,36.0
1689583605.6099296,260,26.0
1689583605.678533,261,25.0
1689583606.5131505,272,23.0
1689583606.734281,275,37.0
1689583606.90661,277,36.0
1689583607.0648386,279,19.0
1689583607.2164712,281,27.0
1689583607.372541,283,20.0
1689583607.5843213,286,19.0
1689583607.8240037,289,16.0
1689583608.0049462,291,46.0
1689583608.4180655,296,41.0
1689583608.5604982,298,33.0
1689583608.600276,299,16.0
1689583609.106112,307,26.0
1689583609.2501092,309,27.0
1689583609.6148837,313,31.0
1689583609.9880228,317,57.0
1689583610.1272013,319,17.0
1689583610.187798,320,21.0
1689583610.41903,323,26.0
1689583611.748031,338,44.0
1689583611.8081794,339,22.0
1689583612.1549926,344,33.0
1689583612.2924461,346,24.0
1689583612.3423443,347,17.0
1689583612.771314,353,25.0
1689583612.9660842,355,42.0
1689583613.3993378,359,27.0
1689583613.7497315,363,37.0
1689583613.7971423,364,17.0
1689583613.859823,365,22.0
1689583613.9426243,366,29.0
1689583614.0326612,367,31.0
1689583614.1008775,368,25.0
1689583614.8582003,379,38.0
1689583615.4719257,387,15.0
1689583615.7384515,391,26.0
1689583615.9393528,393,23.0
1689583616.0861886,395,28.0
1689583616.342673,398,25.0
1689583616.6798933,403,32.0
1689583616.8830166,405,56.0
1689583617.1793756,410,15.0
1689583617.5195942,414,45.0
1689583617.6064487,415,31.0
1689583617.6702752,416,22.0
1689583618.0572996,422,18.0
1689583618.1395059,423,29.0
1689583618.3208072,426,21.0
1689583618.381023,427,20.0
1689583618.6464863,431,16.0
1689583618.9795387,436,15.0
1689583619.0556066,437,27.0
1689583619.1040857,438,17.0
1689583619.1854706,440,12.0
1689583619.3227613,442,24.0
1689583619.4327106,444,16.0
1689583619.500362,445,24.0
1689583619.5817704,447,14.0
1689583619.9287615,451,20.0
1689583620.0477014,453,25.0
1689583620.2625432,457,18.0
1689583620.482397,461,20.0
1689583620.5242255,462,16.0
1689583620.7969327,466,21.0
1689583620.8479064,467,19.0
1689583620.9862678,469,28.0
1689583621.097595,471,18.0
1689583621.325894,475,21.0
1689583621.453182,476,44.0
1689583621.8267126,481,44.0
1689583621.89106,482,23.0
1689583622.0944028,485,18.0
1689583622.3227923,488,29.0
1689583622.3796046,489,21.0
1689583622.5142152,490,47.0
1689583622.6180315,492,15.0
1689583622.8315387,495,25.0
1689583623.071131,499,24.0
1689583623.343542,503,19.0
1689583623.3774297,504,12.0
1689583623.7712622,510,29.0
1689583623.8251164,511,19.0
1689583623.8637998,512,15.0
1689583623.9415238,513,28.0
1689583624.0095038,514,24.0
1689583624.0696428,515,21.0
1689583624.2590525,518,19.0
1689583624.3346581,519,26.0
1689583624.3898041,520,20.0
1689583625.438226,534,25.0
1689583625.4921367,535,19.0
1689583625.6217904,537,17.0
1689583625.7405393,538,43.0
1689583625.7760665,539,13.0
1689583625.9098907,541,19.0
1689583626.0998316,543,24.0
1689583626.2123075,545,20.0
1689583626.3592784,547,32.0
1689583626.4027104,548,15.0
1689583626.5931861,551,34.0
1689583626.7354364,553,34.0
1689583626.936213,556,17.0
1689583627.0845826,557,53.0
1689583627.423386,563,14.0
1689583627.470714,564,17.0
1689583627.5254111,565,19.0
1689583627.8429813,569,19.0
1689583628.1083395,572,35.0
1689583628.2228777,574,21.0
1689583628.4158468,577,19.0
1689583628.6788933,581,14.0
1689583628.927356,585,22.0
1689583629.0017474,586,25.0
1689583629.162719,589,15.0
1689583629.289047,591,21.0
