Wall time,Step,Value
1689584492.5527377,4,2127.0
1689584496.200882,5,1095.0
1689584517.6449804,11,906.0
1689584535.5429668,15,2881.0
1689584541.8952665,16,1943.0
1689584553.2674603,19,1663.0
1689584554.602337,20,404.0
1689584554.8146837,21,66.0
1689584561.8125143,23,1415.0
1689584562.1400294,24,100.0
1689584564.5962188,27,539.0
1689584564.857265,28,80.0
1689584582.5311034,39,1117.0
1689584584.8914866,41,410.0
1689584589.32596,48,223.0
1689584589.7883546,49,164.0
1689584590.5568478,50,251.0
1689584590.9274256,52,61.0
1689584591.7142386,55,150.0
1689584593.485828,58,384.0
1689584595.5567536,61,28.0
1689584597.5120742,62,695.0
1689584597.6314793,63,42.0
1689584599.7156224,64,728.0
1689584600.5093172,66,93.0
1689584600.928576,67,147.0
1689584601.2903426,68,125.0
1689584601.5592139,69,93.0
1689584601.9197536,71,79.0
1689584602.441822,72,182.0
1689584603.4584286,78,32.0
1689584603.9333448,80,61.0
1689584604.6388063,83,96.0
1689584605.2218227,86,96.0
1689584606.0985131,90,98.0
1689584607.884062,100,91.0
1689584608.675577,104,30.0
1689584609.553258,107,193.0
1689584609.7301443,108,60.0
1689584610.2757525,110,46.0
1689584611.4173286,117,38.0
1689584612.223447,122,55.0
1689584612.7887967,126,31.0
1689584613.0078173,127,77.0
1689584613.3474147,129,58.0
1689584613.469687,131,26.0
1689584614.493466,137,26.0
1689584614.5418231,138,17.0
1689584615.7103927,145,35.0
1689584615.8966744,147,31.0
1689584615.9504592,148,18.0
1689584616.3748546,151,45.0
1689584616.963463,158,26.0
1689584617.2383614,161,25.0
1689584617.6400087,163,82.0
1689584617.7911704,165,25.0
1689584618.4432683,171,48.0
1689584618.4868762,172,17.0
1689584618.578152,173,36.0
1689584619.0040395,178,27.0
1689584619.4539359,182,57.0
1689584619.8615716,185,67.0
1689584619.9702334,186,38.0
1689584620.0488603,187,18.0
1689584620.402503,191,43.0
1689584620.4985983,192,33.0
1689584620.6168633,193,41.0
1689584621.3614254,200,34.0
1689584621.5965657,203,15.0
1689584621.7707248,204,62.0
1689584621.975445,205,73.0
1689584622.0483422,206,28.0
1689584622.2645395,208,66.0
1689584622.539459,212,27.0
1689584622.71261,214,39.0
1689584622.848793,216,22.0
1689584623.232238,220,36.0
1689584623.3161545,221,32.0
1689584623.4412825,222,41.0
1689584623.743321,225,33.0
1689584624.2035327,230,43.0
1689584625.3209772,240,28.0
1689584625.4609444,242,24.0
1689584625.6368167,245,29.0
1689584625.7330368,246,34.0
1689584625.821712,247,30.0
1689584626.568764,255,30.0
1689584626.918875,259,26.0
1689584627.0170732,260,34.0
1689584627.0891514,261,26.0
1689584628.1143758,272,37.0
1689584628.3669515,275,31.0
1689584628.4924011,277,17.0
1689584628.6290257,279,23.0
1689584628.7992914,281,32.0
1689584628.9820063,283,40.0
1689584629.3343704,286,27.0
1689584629.5002868,289,19.0
1689584629.6201046,291,25.0
1689584630.1386986,296,18.0
1689584630.2820973,298,27.0
1689584630.4155762,299,45.0
1689584631.1382356,307,52.0
1689584631.3436692,309,25.0
1689584631.8590636,313,23.0
1689584632.2047813,317,45.0
1689584632.2981443,319,15.0
1689584632.3418026,320,15.0
1689584632.553901,323,15.0
1689584633.9639256,338,26.0
1689584634.0622683,339,34.0
1689584634.4766428,344,32.0
1689584634.658271,346,22.0
1689584634.736178,347,27.0
1689584635.1767135,353,23.0
1689584635.4175158,355,63.0
1689584635.6517522,359,19.0
1689584636.072414,363,44.0
1689584636.1317923,364,21.0
1689584636.1762066,365,15.0
1689584636.2357657,366,21.0
1689584636.3004334,367,22.0
1689584636.3739715,368,26.0
1689584637.524585,379,84.0
1689584638.56112,387,33.0
1689584638.851889,391,31.0
1689584639.0193548,393,28.0
