"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"1","2377.26","1293","4420","1092","610","2000"
"2","5053.82","2486","8241","1187.3","88","2000"
"3","6825.36","2948","10751","785.1","52","2000"
"4","8434.78","5185","13244","713.1","51","2000"
"5","9862.84","6846","16287","632.48","51","2000"
"6","11519.9","7391","18733","734.26","44","2000"
"7","13221.54","8318","19417","754.06","32","2000"
"8","14406.42","8492","23650","524.4","40","2000"
"9","15855.86","8956","26483","641.96","67","2000"
"10","17060.78","10792","27762","533.3","55","2000"
"11","18362.48","12863","28802","576.28","36","2000"
"12","19804.82","14339","33050","638.86","70","2000"
"13","20802.04","14815","33827","440.96","37","2000"
"14","22138.08","15166","35076","591.56","67","2000"
"15","23144.18","16649","36643","444.96","60","2000"
"16","24127.4","16859","38963","434.78","19","1840"
"17","25003.58","17271","40185","387.18","20","2000"
"18","26107.4","17657","44690","488.36","35","2000"
"19","27424.78","19106","47715","583.3","44","2000"
"20","28341.94","19323","48705","405.36","18","1432"
"21","29331.74","19996","48944","437.72","28","2000"
"22","30287.44","20305","49152","422.54","37","2000"
"23","31105.28","20580","50748","361.24","39","1613"
"24","31779.3","20715","51763","297.32","35","1268"
"25","32756.78","21296","52024","432.24","45","1733"
"26","33507.62","21369","56478","331.48","30","1977"
"27","34117.64","21905","56962","268.9","30","2000"
"28","34900.9","22711","57307","345.92","49","2000"
"29","35521.54","23870","57768","273.58","27","1476"
"30","36321.02","24122","58014","353.12","57","2000"
"31","36880.94","24359","58440","246.66","31","1191"
"32","37426.46","24526","58807","240.24","33","2000"
"33","37905.38","24794","59006","210.6","19","1931"
"34","38454.16","25276","59128","241.64","29","2000"
"35","39018.04","25626","59778","248.42","29","2000"
"36","39392.98","25820","60247","164.42","29","976"
"37","40006.9","25996","60344","270.64","20","2000"
"38","40371.42","26145","60457","159.78","27","740"
"39","40718.32","26233","60689","151.96","26","701"
"40","41031.44","27102","60805","136.96","29","468"
