Wall time,Step,Value
1689574622.3985388,1474,112.0
1689574622.5757554,1475,63.0
1689574623.2995107,1477,222.0
1689574625.7966673,1484,80.0
1689574626.4201722,1488,62.0
1689574627.1961517,1490,287.0
1689574627.2765458,1491,34.0
1689574628.5613286,1494,126.0
1689574628.6985636,1495,46.0
1689574629.5014398,1499,67.0
1689574629.7495306,1500,91.0
1689574629.8481522,1501,36.0
1689574630.3073487,1503,86.0
1689574632.8552299,1510,93.0
1689574633.018414,1511,65.0
1689574633.1709034,1512,60.0
1689574633.9367485,1514,86.0
1689574634.7594814,1516,137.0
1689574634.909129,1517,54.0
1689574637.5810006,1524,115.0
1689574638.6186752,1529,56.0
1689574640.4861586,1535,45.0
1689574641.592015,1538,169.0
1689574641.7455363,1539,63.0
1689574642.412688,1542,118.0
1689574644.5869517,1549,152.0
1689574645.3995934,1552,72.0
1689574645.5826132,1553,67.0
1689574646.0405939,1554,179.0
1689574648.5609336,1563,70.0
1689574649.611944,1566,96.0
1689574649.896279,1567,122.0
1689574650.3321874,1569,116.0
1689574651.4232728,1571,347.0
1689574651.5702758,1572,56.0
1689574652.3502216,1573,312.0
1689574652.4852536,1574,58.0
1689574653.4628377,1577,37.0
1689574653.9855556,1579,158.0
1689574654.3619003,1581,60.0
1689574654.5318475,1582,62.0
1689574654.662722,1583,53.0
1689574655.4973927,1586,138.0
1689574656.5605369,1591,94.0
1689574657.4342196,1596,31.0
1689574657.5478218,1597,41.0
1689574658.1613684,1598,217.0
1689574659.6335094,1602,62.0
1689574660.4638085,1603,317.0
1689574660.5929499,1604,50.0
1689574664.0754886,1612,67.0
1689574664.4262114,1614,82.0
1689574664.6453779,1615,82.0
1689574664.8682477,1617,45.0
1689574666.1153014,1623,49.0
1689574666.8197734,1625,152.0
1689574689.9432423,1628,30.0
1689574690.9467902,1632,92.0
1689574691.7278779,1636,116.0
1689574692.3751588,1638,131.0
1689574692.8712418,1641,93.0
1689574693.0990114,1642,94.0
1689574693.983854,1647,81.0
1689574694.437681,1648,166.0
1689574695.0950089,1650,121.0
1689574695.5844276,1652,64.0
1689574696.0872908,1653,185.0
1689574696.2633364,1654,67.0
1689574696.5179653,1655,91.0
1689574697.2459824,1657,184.0
1689574697.5096004,1659,77.0
1689574698.3684032,1663,143.0
1689574698.7915525,1665,95.0
1689574698.9990094,1667,37.0
1689574699.3912754,1670,78.0
1689574699.627893,1671,79.0
1689574700.5568385,1675,37.0
1689574701.5051665,1678,92.0
1689574701.8031723,1680,79.0
1689574702.0118237,1681,75.0
1689574702.3506613,1683,87.0
1689574702.7594922,1686,44.0
1689574703.0150452,1687,96.0
1689574703.2291176,1688,77.0
1689574703.3733625,1689,49.0
1689574705.437241,1694,253.0
1689574705.616443,1695,69.0
1689574706.0382001,1696,145.0
