,reward_8,lengths_8,mean_lengths_8,reward_4,lengths_4,mean_lengths_4,reward_1,lengths_1,mean_lengths_1,smooth_1,smooth_4,smooth_8
38,1.0,1117.0,793.1315789473684,1.0,1298.0,672.2368421052631,1.0,75.0,612.421052631579,467.74773978319416,2754.1613225218725,531.9029664574247
39,1.0,318.0,801.4358974358975,1.0,122.0,688.2820512820513,1.0,105.0,598.6410256410256,464.12026238536225,2727.8397092966534,529.7639367928504
40,1.0,410.0,789.35,1.0,91.0,674.125,1.0,15.0,586.3,459.6290597615086,2701.4713122036865,528.5662974249219
41,1.0,317.0,780.0975609756098,1.0,285.0,659.9024390243902,1.0,20.0,572.3658536585366,455.23276916389347,2677.3065990816494,526.4506344506726
42,1.0,79.0,769.0714285714286,1.0,47.0,650.9761904761905,1.0,49.0,559.2142857142857,451.17044147225454,2651.0035330908327,521.9761281061659
43,1.0,46.0,753.0232558139535,1.0,69.0,636.9302325581396,1.0,123.0,547.3488372093024,447.888737057532,2625.183497759924,517.2163668251043
44,1.0,42.0,736.9545454545455,1.0,69.0,624.0227272727273,1.0,35.0,537.7045454545455,443.7598496869567,2599.621662782325,512.4642031568532
45,1.0,526.0,721.5111111111111,1.0,188.0,611.6888888888889,1.0,27.0,526.5333333333333,439.59225119008715,2575.505446154502,512.5995611252846
46,1.0,200.0,717.2608695652174,1.0,71.0,602.4782608695652,1.0,53.0,515.6739130434783,435.72632867818623,2550.460391692957,509.47356551403175
47,1.0,223.0,706.2553191489362,1.0,79.0,591.1702127659574,1.0,154.0,505.82978723404256,432.9090653914044,2525.745787776027,506.60882985889145
48,1.0,164.0,696.1875,1.0,143.0,580.5,1.0,19.0,498.5,428.7699747374904,2501.9183298982666,503.18274156030253
49,1.0,251.0,685.3265306122449,1.0,72.0,571.5714285714286,1.0,61.0,488.7142857142857,425.09227499011547,2477.619146599284,500.6609141446995
50,1.0,69.0,676.64,1.0,206.0,561.58,1.0,106.0,480.16,421.9013522402143,2454.902955133291,496.34430500325254
51,1.0,61.0,664.7254901960785,1.0,491.0,554.6078431372549,1.0,39.0,472.8235294117647,418.07233871781216,2435.263925581958,491.99086195322
52,1.0,65.0,653.1153846153846,1.0,137.0,553.3846153846154,1.0,40.0,464.4807692307692,414.291615330634,2412.2812863261383,487.7209533336878
53,1.0,71.0,642.0188679245283,1.0,435.0,545.5283018867924,1.0,35.0,456.47169811320754,410.4986991773277,2392.5084734628767,483.5537438003509
54,1.0,150.0,631.4444444444445,1.0,173.0,543.4814814814815,1.0,54.0,448.6666666666667,406.93371218555444,2370.313388728248,480.21820636234736
55,1.0,44.0,622.6909090909091,1.0,87.0,536.7454545454545,1.0,43.0,441.4909090909091,403.2943750636989,2347.4802548409652,475.85602429872387
56,1.0,197.0,612.3571428571429,1.0,177.0,528.7142857142857,1.0,130.0,434.375,400.5614313130619,2325.7754522925557,473.06746405573665
57,1.0,384.0,605.0701754385965,1.0,143.0,522.5438596491229,1.0,30.0,429.03508771929825,396.8558169999313,2303.94769776963,472.1767894151793
58,1.0,306.0,601.2586206896551,1.0,150.0,516.0,1.0,25.0,422.1551724137931,393.13725882993197,2282.4082207919337,470.5150215210275
59,1.0,436.0,596.2542372881356,1.0,338.0,509.79661016949154,1.0,46.0,415.4237288135593,389.6658862416326,2262.9641385840146,470.16987130581725
60,1.0,28.0,593.5833333333334,1.0,131.0,506.93333333333334,1.0,26.0,409.26666666666665,386.0292273792163,2241.644497198174,465.74817259275903
61,1.0,695.0,584.311475409836,1.0,174.0,500.7704918032787,1.0,76.0,402.9836065573771,382.92893510542416,2220.968052226192,468.0406908668314
62,1.0,42.0,586.0967741935484,1.0,115.0,495.5,1.0,31.0,397.7096774193548,379.40964575436993,2199.9083717039302,463.7802839581631
63,1.0,728.0,577.4603174603175,1.0,86.0,489.46031746031747,1.0,43.0,391.8888888888889,376.0455492968262,2178.769287986891,466.4224811185815
64,1.0,183.0,579.8125,1.0,56.0,483.15625,1.0,113.0,386.4375,373.4150938038579,2157.5415951070217,463.5882563073957
65,1.0,93.0,573.7076923076924,1.0,60.0,476.5846153846154,1.0,62.0,382.2307692307692,370.30094286581937,2136.5661791559514,459.88237374432174
66,1.0,147.0,566.4242424242424,1.0,65.0,470.27272727272725,1.0,21.0,377.3787878787879,366.8079334371611,2115.850517364392,456.7535500068785
67,1.0,125.0,560.1641791044776,1.0,24.0,464.2238805970149,1.0,19.0,372.05970149253733,363.3298541027895,2094.932012190748,453.4360145068097
68,1.0,93.0,553.7647058823529,1.0,88.0,457.75,1.0,49.0,366.86764705882354,360.1865555617616,2074.8626920688407,449.83165436174164
69,1.0,49.0,547.0869565217391,1.0,79.0,452.39130434782606,1.0,18.0,362.2608695652174,356.764690006144,2054.9040651481523,445.82333781812423
70,1.0,79.0,539.9714285714285,1.0,30.0,447.0571428571429,1.0,22.0,357.34285714285716,353.4170431060826,2034.6550244966706,442.155104439943
71,1.0,182.0,533.4788732394367,1.0,85.0,441.1830985915493,1.0,54.0,352.61971830985914,350.4228726750218,2015.1584742517039,439.55355339554353
72,1.0,117.0,528.5972222222222,1.0,49.0,436.2361111111111,1.0,57.0,348.47222222222223,347.48864394827154,1995.4968895091868,436.3280178615881
73,1.0,51.0,522.9589041095891,1.0,64.0,430.93150684931504,1.0,25.0,344.47945205479454,344.26375750878884,1976.181920614095,432.4747376829722
74,1.0,59.0,516.581081081081,1.0,66.0,425.97297297297297,1.0,23.0,340.1621621621622,341.051119933701,1957.080101407954,428.73999030614243
75,1.0,79.0,510.48,1.0,41.0,421.17333333333335,1.0,78.0,335.93333333333334,338.42060873436395,1937.9193003938747,425.242590403081
76,1.0,19.0,504.80263157894734,1.0,38.0,416.17105263157896,1.0,361.0,332.5394736842105,338.6464026470203,1918.920107389936,421.1801644990502
77,1.0,32.0,498.4935064935065,1.0,36.0,411.2597402597403,1.0,268.0,332.90909090909093,337.9399386205501,1900.0909063160366,417.2883628540597
78,1.0,118.0,492.5128205128205,1.0,16.0,406.44871794871796,1.0,18.0,332.0769230769231,334.7405392343446,1881.2499972528763,414.2954792255191
79,1.0,61.0,487.7721518987342,1.0,115.0,401.50632911392404,1.0,53.0,328.1012658227848,331.92313384200116,1863.5874972803476,410.76252443326393
80,1.0,81.0,482.4375,1.0,101.0,397.925,1.0,32.0,324.6625,328.92390250358113,1845.961622307544,407.46489918893127
81,1.0,105.0,477.48148148148147,1.0,35.0,394.25925925925924,1.0,29.0,321.04938271604937,325.9246634785453,1827.8520060844685,404.44025019704196
82,1.0,96.0,472.9390243902439,1.0,81.0,389.8780487804878,1.0,27.0,317.4878048780488,322.9354168437598,1810.3834860236236,401.35584769507153
83,1.0,67.0,468.3975903614458,1.0,42.0,386.1566265060241,1.0,38.0,313.9879518072289,320.0860626753222,1792.6996511633874,398.0122892181208
84,1.0,50.0,463.6190476190476,1.0,55.0,382.0595238095238,1.0,72.0,310.70238095238096,317.60520204856897,1775.3226546517535,394.5321663259396
85,1.0,96.0,458.7529411764706,1.0,28.0,378.21176470588233,1.0,24.0,307.8941176470588,314.66915002808327,1757.849428105236,391.5468446626802
86,1.0,52.0,454.5348837209302,1.0,82.0,374.13953488372096,1.0,30.0,304.59302325581393,311.82245852780244,1741.0909338241836,388.1513762160534
87,1.0,109.0,449.9080459770115,1.0,67.0,370.7816091954023,1.0,24.0,301.4367816091954,308.9442339425244,1724.3500244859417,385.35986245389284
88,1.0,47.0,446.03409090909093,1.0,27.0,367.32954545454544,1.0,23.0,298.28409090909093,306.0847916030992,1707.3765242410823,381.97626382935397
89,1.0,98.0,441.55056179775283,1.0,71.0,363.5056179775281,1.0,53.0,295.19101123595505,303.55394368706817,1691.0127589986714,379.13650119106046
90,1.0,61.0,437.73333333333335,1.0,45.0,360.25555555555553,1.0,20.0,292.5,300.71840425019747,1674.5526314086846,375.95513617914986
91,1.0,50.0,433.5934065934066,1.0,76.0,356.7912087912088,1.0,22.0,289.5054945054945,297.9312202076955,1658.5671050945978,372.69558481735834
92,1.0,63.0,429.42391304347825,1.0,67.0,353.7391304347826,1.0,18.0,286.5978260869565,295.1319080056185,1642.6514340436518,369.59862896918474
93,1.0,55.0,425.48387096774195,1.0,81.0,350.6559139784946,1.0,17.0,283.7096774193548,292.35058892556236,1627.034919703215,366.4526426794929
94,1.0,58.0,421.5425531914894,1.0,38.0,347.78723404255317,1.0,68.0,280.8723404255319,290.10708303630673,1611.144570506183,363.368116252698
